ホテル名,id,電話番号,休憩(平日),休憩(休日),宿泊(平日),宿泊(休日),宿泊(謎),サービスタイム,ショートタイム,住所
エルス,43,03-3980-4666,"3,900","4,200","6,000","7,000","8,000","3,900",-,東京都豊島区池袋1-7-3,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1145.0347392567462!2d139.7120772439514!3d35.73489138737539!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d608fd1e957%3A0x95c60656a5fe4394!2z44Ob44OG44Or44O744Ko44Or44K5!5e0!3m2!1sja!2sjp!4v1502543687812"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル スイートパーク,44,03-3985-5172,"3,900","4,800","6,800","6,800","9,900","3,900","2,980",東京都豊島区池袋1-2-12,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.653177913247!2d139.70992761437492!3d35.73474723464428!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d41fe525615%3A0xfc9cc08475b16617!2z44K544Kk44O844OI44OR44O844Kv!5e0!3m2!1sja!2sjp!4v1502543768136"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル プティバリ,45,0120-958-132,"3,900","4,900","7,900","9,900","7,900","3,900","3,900",東京都豊島区池袋2-12-11,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.741749567479!2d139.70495531437479!3d35.732569334763895!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5ec65bdae7%3A0x901ccc8da46896b6!2z5rGg6KKLIOODm-ODhuODq-ODl-ODhuOCo-ODkOODqg!5e0!3m2!1sja!2sjp!4v1502542558268"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
マリオン,46,03-3983-9455,"3,900","3,900","7,700","7,700","7,700",-,-,東京都豊島区西池袋1-2-2,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.945207924941!2d139.7070780143747!3d35.72756603503853!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5d2a31c397%3A0xe89bf16aea024bb5!2z44CSMTcxLTAwMjEg5p2x5Lqs6YO96LGK5bO25Yy66KW_5rGg6KKL77yR5LiB55uu77yS4oiS77yS!5e0!3m2!1sja!2sjp!4v1502545403186"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ガルドミラ,47,03-3986-9752,"4,000","4,500","6,800","8,800","9,800","4,000","3,000",東京都豊島区池袋2-12-9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.7423595768787!2d139.7047249143748!3d35.732554334764764!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5ecedeaaab%3A0xd9504ba42fadb6ae!2z44Ob44OG44OrIEdVTERNSUxMQQ!5e0!3m2!1sja!2sjp!4v1502544385667"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル クリオ西口店,48,03-3590-5684,"4,000","4,000","5,200","6,800","6,800","4,000","2,700",東京都豊島区池袋2-16-8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.71773942113!2d139.70390311437484!3d35.7331597347314!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d58d670de79%3A0x1f5e4c8cdb0f4c7c!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yR77yW4oiS77yY!5e0!3m2!1sja!2sjp!4v1502543962074"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
LALA33,49,03-3590-6933,"4,200","4,200","8,200","8,200","8,200","3,900",-,東京都豊島区池袋1-3-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.674484502429!2d139.71021331437478!3d35.734223334673054!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60bc4368fd%3A0x545ddbd1e8efc0bc!2z44Ob44OG44Or44Op44Op77yT77yT!5e0!3m2!1sja!2sjp!4v1502543665057"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ラフォーレ,50,03-3986-6815,"4,200","5,200","6,000","6,000","8,000","4,200",-,東京都豊島区池袋1-2-11,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6570232052836!2d139.70977466437486!3d35.734652684649475!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d609ba211ad%3A0x186e05eefa2c4de9!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yR5LiB55uu77yS4oiS77yR77yRIOODm-ODhuODq-ODqeODleOCqeODvOODrA!5e0!3m2!1sja!2sjp!4v1502545594445"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
RAMSES CLUB,51,03-3983-6661,"4,300","4,300","6,900","8,900","6,900","4,300",-,東京都豊島区東池袋1-38-6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2290.1262207656146!2d139.71280489341228!3d35.73291822818424!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d6720767703%3A0x85f6c0548fc9e3f3!2z44Ob44OG44Or44Op44Og44K744K544Kv44Op44OW!5e0!3m2!1sja!2sjp!4v1502543046361"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
THE HOTEL TOKIWA WEST,52,03-3590-1234,"4,300","4,300","7,700","7,700","7,700","3,800",-,東京都豊島区池袋2-40-9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.695701350314!2d139.7080304143749!3d35.73370163470169!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5e408b8d91%3A0x1c54f9d368e9f2d9!2sTHE+HOTEL+TOKIWA!5e0!3m2!1sja!2sjp!4v1502545165005"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ときわ,53,03-3971-5897,"4,400","4,400","7,700","7,700","6,700","4,100",-,東京都豊島区池袋2-43-8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.695701350314!2d139.7080304143749!3d35.73370163470169!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5e408b86a3%3A0x4c505185dc5dcacd!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yS5LiB55uu77yU77yT4oiS77yY!5e0!3m2!1sja!2sjp!4v1502545135379"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル オアーゼ,54,03-3980-5881,"4,400","4,400","7,700","8,700","7,700","4,400",-,東京都豊島区東池袋1-22-14,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.8592332823637!2d139.71381931437486!3d35.729680334922584!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d68a560df69%3A0x3ddb8cea7a87a152!2z44Ob44OG44Or44Kq44Ki44O844K8!5e0!3m2!1sja!2sjp!4v1502543248398"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
THE ATTA（ジ アッタ）,55,03-3982-1710,"4,500","5,000","7,500","8,500","7,500","4,500",-,東京都豊島区池袋１-3-9,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6528728923495!2d139.71011081437484!3d35.73475473464384!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d6090ef40e9%3A0x2884a51db357c51!2z77yo77yv77y077yl77ys77y0772I772F77yh772U772U772BIOODm-ODhuODq-OCuOOCouODg-OCvw!5e0!3m2!1sja!2sjp!4v1502542906817"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
エアーズロック,56,03-5952-0660,"4,500","4,500","8,300","8,300","8,300","4,500",-,東京都豊島区池袋1-1-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.697380955131!2d139.70981931437493!3d35.733660334704005!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60af7afb57%3A0xf09aadbf7e59b03a!2z44Ob44OG44Or44Ko44Ki44O844K644Ot44OD44Kv!5e0!3m2!1sja!2sjp!4v1502544255526"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
シルク,57,03-3980-0788,"4,500","4,500","7,000","7,000","7,000","4,500","3,500",東京都豊島区東池袋1-13-3,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.878105547614!2d139.7128218143747!3d35.729216234948005!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d689a143f8b%3A0xa609a92c1c541e14!2z44CSMTcwLTAwMTMg5p2x5Lqs6YO96LGK5bO25Yy65p2x5rGg6KKL77yR5LiB55uu77yR77yT4oiS77yT!5e0!3m2!1sja!2sjp!4v1502544581458"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル タイムズ,58,03-6907-3605,"4,500","4,500","9,800","11,800","9,800","5,800",-,東京都豊島区西池袋1-2-10,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.9364126324135!2d139.7072613143747!3d35.72778233502663!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5d2c286d21%3A0xd4384c164784ec37!2z44Ob44OG44OrIOOCv-OCpOODoOOCug!5e0!3m2!1sja!2sjp!4v1502543430080"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
WILL CITY池袋,59,03-3590-0255,"4,550","4,600","6,400","7,400","6,400","4,400","3,200",東京都豊島区池袋1-7-31,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6340184261308!2d139.71023331437488!3d35.73521833461844!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d608eea7325%3A0xfc22f1e18e966100!2z44Ob44OG44OrIOOCpuOCo-ODqyDjgrfjg4bjgqMg5rGg6KKL!5e0!3m2!1sja!2sjp!4v1502542686109"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル クリオ東口店,60,03-3971-0568,"4,720","4,720","7,350","8,400","8,400","4,720","3,800",東京都豊島区東池袋1-32-11,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.7405295480135!2d139.71399631437487!3d35.73259933476218!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d6687aea00f%3A0xde0815219a7206b9!2z44Ob44OG44Or44Kv44Oq44KqIOadseWPo-W6lw!5e0!3m2!1sja!2sjp!4v1502543753637"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
AROMA BARU,61,03-5952-4344,"4,800","5,600","9,800","12,500","9,800",-,-,東京都豊島区池袋1-3-11,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.653336524096!2d139.7102553143749!3d35.73474333464442!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60914a2f81%3A0xa85f2ef59fb6623f!2zQVJPTUEgQkFSVSAvIOOCouODreODniDjg5Djg6s!5e0!3m2!1sja!2sjp!4v1502543293320"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL AROMA,62,03-3988-0890,"4,800","5,600","8,800","12,500","8,800",-,-,東京都豊島区池袋2-64-7,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2723.372731917238!2d139.710627590443!3d35.734721375248185!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5fd3467ac7%3A0x685c3c961954764b!2z44Ki44Ot44Oe!5e0!3m2!1sja!2sjp!4v1502543019181"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL ZEBRA,63,03-3986-5015,"4,800","6,000","7,800","11,200","7,800","4,800",-,東京都豊島区東池袋1-37-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.723591519325!2d139.7123634143749!3d35.73301583473923!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d66dd8f6c9b%3A0x7066aeb3fc819beb!2z44K844OW44Op!5e0!3m2!1sja!2sjp!4v1502542701322"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
プルミエ,64,03-3986-4008,"4,800","4,800","8,000","9,000","8,000","4,800","3,500",東京都豊島区池袋2-46-6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1619.358320946618!2d139.70968937046558!3d35.733186722304524!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5e3e0f99bb%3A0xcc8b86b2a7740543!2z44Ob44OG44OrIOODl-ODq-ODn-OCqA!5e0!3m2!1sja!2sjp!4v1502543522426"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL CHECK INN BALI,65,03-5951-6813,"4,860","4,860","5,830","8,530","10,360","4,860","3,200",東京都豊島区池袋1-4-5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6477.575166434692!2d139.70642792261128!3d35.73144228002888!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5ce0b4205b%3A0x2e023d1dbc297b2!2z44CSMTcxLTAwMjEg5p2x5Lqs6YO96LGK5bO25Yy66KW_5rGg6KKL77yR5LiB55uu77yU4oiS77yV!5e0!3m2!1sja!2sjp!4v1502543885784"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL ADORE,66,03-3981-1185,"4,900","4,900","7,100","9,900","7,100","4,900","4,000",東京都豊島区南池袋2-23-3,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.943056884477!2d139.7114574143747!3d35.72761893503561!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d685baa5555%3A0x3d931b102f41bd15!2z44Ob44OG44Or77yh77yk77yv77yy77yl!5e0!3m2!1sja!2sjp!4v1502543183813"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
X,67,03-5953-5155,"4,900","4,900","7,900","9,900","7,900","4,900","3,900",東京都豊島区池袋1-3-16,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.665874867294!2d139.71037741437493!3d35.734435034661324!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60be1190bf%3A0x6e95ea3ba04801d0!2z44CSMTcwLTAwMTQg5p2x5Lqs6YO96LGK5bO25Yy65rGg6KKL77yR5LiB55uu77yT4oiS77yR77yW!5e0!3m2!1sja!2sjp!4v1502542733641"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル Fooo,68,03-3983-1171,"4,900","5,200","7,800","8,900","7,800","4,900","4,000",東京都豊島区南池袋2-28-2,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.9231545464286!2d139.71255746437464!3d35.72810838500883!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d68f1df3ac3%3A0x8623fe4d330c916b!2z44CSMTcxLTAwMjIg5p2x5Lqs6YO96LGK5bO25Yy65Y2X5rGg6KKL77yS5LiB55uu77yS77yYIOODm-ODhuODq--8pu-8r--8r--8rw!5e0!3m2!1sja!2sjp!4v1502542713377"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル 香,69,03-5957-1501,"4,900","4,900","7,200","8,400","11,400","4,900",-,東京都豊島区池袋1-2-3,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.67916142316!2d139.70974531437497!3d35.734108334679256!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60a23165ef%3A0xb9674fa4af7412c9!2z44Ob44OG44OrIOmmmSAoS09VKQ!5e0!3m2!1sja!2sjp!4v1502543808882"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ホテル ティファナ・イン,70,03-3988-6606,"4,960","4,960","7,560","8,640","7,560","4,960",-,東京都豊島区東池袋1-26-2,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.886167164778!2d139.71402601437478!3d35.72901798495872!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x421c3d080446193e!2z5rGg6KKLIOODm-ODhuODq-ODhuOCo-ODleOCoeODiuOCpOODsw!5e0!3m2!1sja!2sjp!4v1502543362265"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
RAMSES Classic,71,03-5958-0301,"5,000","5,000","8,900","11,900","8,900","5,200",-,東京都豊島区池袋1-1-15,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6989670210946!2d139.7102103143749!3d35.73362133470604!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60b16d89c3%3A0x1b7821ca0d760057!2z44Ob44OG44Or44Op44Og44K744K5!5e0!3m2!1sja!2sjp!4v1502543320666"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
アランド池袋,72,03-3986-3281,"5,200","5,200","8,980","8,980","8,980","5,200","3,700",東京都豊島区池袋1-3-17,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.673923271069!2d139.71049451437477!3d35.73423713467222!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60be8c2b55%3A0x7cd743272b438d65!2z44Ob44OG44Or44Ki44Op44Oz44OJ!5e0!3m2!1sja!2sjp!4v1502543204905"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
Premium Resort ホテル ガネーシャ,73,03-3971-9123,"5,500","5,500","9,300","11,800","12,300","5,500",-,東京都豊島区池袋1-3-3,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.684240950977!2d139.71017496437497!3d35.73398343468612!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60b9615555%3A0xb802528c3e16d03c!2z44Ob44OG44OrIOOCrOODjeODvOOCt-ODow!5e0!3m2!1sja!2sjp!4v1502543713072"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
ファースト,74,03-3986-0281,"5,500","5,500","8,900","8,900","8,900","4,500",-,東京都豊島区東池袋1‐37‐2,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.7230303044003!2d139.71222451437492!3d35.73302963473847!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d66de713c9f%3A0xac1a6004d18dd500!2z44CSMTcwLTAwMTMg5p2x5Lqs6YO96LGK5bO25Yy65p2x5rGg6KKL77yR5LiB55uu77yT77yX4oiS77yS!5e0!3m2!1sja!2sjp!4v1502545289649"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
レイ,75,03-3986-5555,"5,500","6,500","9,000","10,000","10,000",-,-,東京都豊島区池袋1-1-1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d962.8743336354931!2d139.71158734986957!3d35.73334261684945!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60afb89ec1%3A0xce544d1cbd7cf8e8!2z44Ob44OG44Or44Os44Kk!5e0!3m2!1sja!2sjp!4v1502545811644"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
Premium Resort ホテル グラス,76,03-3971-2201,"5,950","5,950","9,500","11,100","9,500","5,950","5,950",東京都豊島区池袋1-1-11,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6889219113423!2d139.7099997143749!3d35.73386833469246!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60a52d8747%3A0xaaaa17431849007!2z44Ob44OG44OrIOOCsOODqeOCuQ!5e0!3m2!1sja!2sjp!4v1502543408349"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL VARKIN,77,03-5951-6833,"6,260","7,120","10,580","11,880","13,820","6,260","5,290",東京都豊島区池袋1-1-14,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.6921347262705!2d139.71038231437493!3d35.73378933469683!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d60b7242843%3A0xf7bb75267df8ad7b!2z44Ob44OG44OrVkFSS0lO!5e0!3m2!1sja!2sjp!4v1502543733502"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
HOTEL AILU,78,03-3971-7491,"6,300","6,300","11,000","13,000","11,000","6,300",-,東京都豊島区西池袋1-10-6,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.8685210171416!2d139.7064252143747!3d35.72945193493497!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5cf8a038b1%3A0xbce97c8ddce158ad!2z44Ob44OG44Or44Ki44Kk44Or!5e0!3m2!1sja!2sjp!4v1502542592910"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
LINDEN池袋,79,03-3984-0511,"6,500","6,500","11,000","13,000","8,000","6,500",-,東京都豊島区西池袋2-38-8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3238.9328546530655!2d139.70534161437465!3d35.72786983502187!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5c9657864d%3A0x8d9ab8b5a89d6c54!2z44Ob44OG44OrIOODquODs-ODh-ODsyDmsaDooovlupc!5e0!3m2!1sja!2sjp!4v1502543268795"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
Domani,80,03-5960-0081,"7,300","7,300","12,800","14,800","12,800","7,300",-,東京都豊島区西池袋1-10-4,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d962.927264881275!2d139.7081652100646!3d35.7289645322174!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5cf8ff4bbd%3A0x67bca3293afbc155!2z77yo77yv77y077yl77ys77yk77yv77yt77yh77yu77yp!5e0!3m2!1sja!2sjp!4v1502542752522"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>"
